career_name,domain,paid,customer_type,product_type,physical_presence,location_specific,scale,people_interaction,manual_work,creative_output,technical_work,uniqueness_level,automation_risk,social_impact,typical_age_min
UX Designer,social media,sometimes,platform,service,yes,yes,massive,low,no,yes,yes,medium,high,low,26
Content Creator,entertainment,sometimes,organizations,experience,no,no,small,medium,no,yes,no,medium,high,high,25
Marketing Specialist,automotive,sometimes,companies,physical,no,yes,large,high,no,no,yes,low,medium,low,28
Podcast Host,non-profit,sometimes,platform,content,yes,no,massive,medium,no,yes,no,medium,medium,high,28
Video Editor,social media,yes,companies,physical,no,yes,small,low,no,no,no,low,high,high,29
Sound Engineer,education,no,platform,service,yes,yes,small,high,yes,yes,no,low,medium,low,15
Community Manager,music,sometimes,individuals,content,yes,yes,massive,low,yes,no,yes,low,low,medium,19
Game Designer,religion,no,organizations,content,sometimes,no,massive,medium,no,no,yes,medium,medium,medium,18
Product Manager,religion,yes,companies,physical,sometimes,no,large,low,yes,yes,no,medium,medium,low,20
Music Producer,design,no,companies,service,sometimes,yes,medium,medium,no,yes,yes,low,low,medium,19
Film Editor,entertainment,no,individuals,physical,sometimes,no,medium,low,yes,no,yes,high,low,low,23
Marketing Specialist,technology,yes,brands,digital,yes,yes,massive,low,no,yes,no,medium,low,low,29
NGO Worker,music,no,companies,content,sometimes,no,large,high,no,no,no,medium,low,medium,22
Mechanical Technician,religion,sometimes,organizations,physical,no,yes,medium,medium,yes,no,yes,medium,high,high,21
Sound Engineer,education,sometimes,platform,experience,sometimes,no,large,low,no,yes,yes,high,medium,low,27
Community Manager,non-profit,sometimes,organizations,digital,no,yes,small,high,yes,yes,no,low,high,high,24
Civil Engineer,non-profit,no,organizations,physical,yes,no,large,high,no,no,no,high,high,medium,20
Photographer,education,yes,organizations,physical,no,yes,massive,low,no,no,no,medium,medium,low,22
Interior Designer,religion,sometimes,organizations,experience,sometimes,no,small,medium,yes,yes,no,medium,high,medium,21
Game Designer,education,no,organizations,experience,sometimes,yes,massive,medium,no,yes,yes,high,high,low,14
Event Coordinator,entertainment,no,organizations,physical,sometimes,yes,small,low,yes,no,no,high,low,low,14
Film Editor,education,no,organizations,content,no,no,massive,low,no,no,no,high,medium,medium,22
Event Coordinator,marketing,yes,platform,experience,no,no,large,high,yes,no,yes,low,medium,low,23
Software Developer,social media,no,organizations,content,no,yes,massive,medium,no,yes,yes,medium,high,low,21
Automotive Engineer,non-profit,no,organizations,content,sometimes,no,massive,low,no,no,yes,high,low,medium,28
Game Designer,design,no,platform,experience,sometimes,no,medium,high,yes,yes,yes,low,low,medium,30
Podcast Host,entertainment,yes,individuals,physical,no,no,large,high,yes,no,no,high,high,high,24
Social Media Influencer,non-profit,no,companies,content,no,yes,small,low,yes,no,no,medium,medium,high,27
Journalist,automotive,no,individuals,physical,yes,no,medium,medium,no,yes,yes,high,low,high,15
Product Manager,education,sometimes,companies,experience,no,yes,massive,low,no,yes,yes,high,high,high,29
Architect,music,no,brands,digital,yes,yes,massive,low,yes,yes,no,low,low,low,21
Social Media Influencer,education,sometimes,organizations,content,sometimes,yes,large,medium,no,yes,yes,low,medium,low,28
Sound Engineer,entertainment,no,organizations,digital,no,yes,massive,high,no,no,no,medium,medium,medium,17
Music Producer,education,sometimes,organizations,digital,sometimes,no,small,high,no,no,no,low,medium,low,19
Civil Engineer,technology,sometimes,brands,content,yes,yes,medium,medium,yes,yes,no,medium,medium,high,17
Graphic Designer,marketing,sometimes,organizations,digital,sometimes,yes,medium,high,yes,yes,yes,low,high,high,17
Mechanical Technician,music,yes,companies,content,sometimes,no,medium,high,yes,yes,no,medium,high,high,21
Teacher,education,sometimes,companies,digital,no,yes,medium,high,no,yes,no,high,medium,low,16
Video Editor,design,yes,organizations,digital,yes,no,large,medium,yes,no,no,low,medium,high,17
Event Coordinator,entertainment,sometimes,platform,experience,sometimes,yes,small,high,no,no,no,medium,medium,medium,27
Product Manager,music,yes,individuals,digital,yes,no,large,medium,yes,yes,yes,medium,high,low,30
Data Analyst,music,no,companies,service,sometimes,yes,large,low,yes,yes,no,low,medium,medium,28
NGO Worker,education,yes,organizations,digital,sometimes,no,medium,low,yes,no,yes,medium,high,medium,27
Community Manager,social media,yes,brands,experience,no,no,massive,low,yes,no,yes,low,medium,low,25
Journalist,technology,yes,organizations,physical,no,yes,large,medium,yes,yes,yes,low,medium,high,23
Music Producer,marketing,sometimes,platform,service,yes,no,medium,medium,no,no,no,medium,medium,low,30
Vehicle Armoring Specialist,entertainment,sometimes,platform,digital,sometimes,yes,large,low,no,no,yes,high,high,high,27
Film Editor,non-profit,yes,brands,physical,sometimes,yes,massive,medium,no,no,yes,medium,low,medium,20
Interior Designer,automotive,yes,individuals,digital,sometimes,no,small,medium,yes,yes,no,low,high,medium,29
Marketing Specialist,social media,yes,platform,content,sometimes,no,small,high,no,no,no,medium,low,low,17
Fashion Model,education,yes,organizations,physical,sometimes,yes,massive,medium,yes,no,yes,medium,medium,medium,23
Video Editor,automotive,yes,platform,content,sometimes,no,massive,high,no,no,yes,low,low,medium,29
Marketing Specialist,non-profit,no,brands,digital,no,no,small,low,yes,no,no,low,medium,high,24
Product Manager,religion,sometimes,companies,content,no,no,massive,medium,yes,yes,no,low,low,medium,13
Social Media Influencer,design,no,platform,content,no,no,large,high,no,no,yes,medium,medium,high,30
Mechanical Technician,design,no,brands,service,yes,no,small,medium,yes,yes,yes,medium,high,low,16
Mechanical Technician,religion,yes,companies,digital,no,no,small,high,no,yes,yes,low,high,medium,13
Teacher,education,yes,companies,physical,yes,yes,massive,medium,yes,yes,yes,low,medium,high,13
Data Analyst,marketing,no,brands,physical,sometimes,no,massive,low,no,no,no,medium,high,high,26
Social Media Influencer,religion,yes,platform,digital,yes,no,massive,high,yes,no,yes,medium,high,medium,14
Data Analyst,technology,no,companies,service,yes,no,medium,low,no,no,yes,medium,medium,high,16
Data Analyst,education,no,organizations,digital,yes,no,small,high,no,no,yes,medium,medium,medium,26
Podcast Host,religion,no,organizations,experience,no,yes,large,low,no,no,yes,high,medium,high,21
Data Analyst,technology,yes,companies,content,no,no,massive,medium,yes,no,no,medium,high,high,20
Teacher,design,sometimes,companies,physical,sometimes,no,medium,medium,no,yes,no,low,low,high,22
Software Developer,marketing,no,platform,service,sometimes,yes,small,high,no,no,no,low,low,medium,16
Journalist,automotive,sometimes,organizations,experience,sometimes,yes,large,high,no,no,yes,low,high,high,13
Civil Engineer,marketing,yes,brands,physical,yes,no,small,high,no,yes,yes,high,low,low,21
Sound Engineer,non-profit,yes,platform,physical,no,no,large,medium,no,no,no,medium,low,medium,26
Software Developer,music,no,companies,experience,sometimes,yes,medium,medium,yes,yes,yes,high,high,low,24
Mechanical Technician,technology,sometimes,brands,experience,sometimes,yes,massive,low,no,no,yes,high,high,high,15
Social Media Influencer,music,yes,individuals,service,yes,no,large,low,yes,yes,no,low,low,high,19
Video Editor,education,yes,companies,content,yes,no,large,low,no,no,yes,medium,medium,medium,22
Journalist,social media,sometimes,individuals,experience,sometimes,yes,massive,medium,yes,no,no,low,low,low,30
Civil Engineer,automotive,yes,brands,experience,yes,no,large,high,no,yes,no,low,medium,medium,30
Event Coordinator,music,sometimes,individuals,content,sometimes,no,massive,high,yes,no,no,medium,medium,low,24
Music Producer,music,sometimes,platform,digital,sometimes,no,large,high,no,yes,no,medium,low,medium,27
Podcast Host,non-profit,no,companies,physical,yes,yes,massive,medium,yes,yes,no,high,high,high,28
Teacher,non-profit,yes,companies,service,no,no,massive,medium,no,no,yes,medium,high,medium,20
NGO Worker,automotive,no,brands,digital,sometimes,yes,large,low,no,yes,no,medium,low,low,26
YouTuber,technology,yes,platform,content,sometimes,no,large,high,yes,no,yes,high,low,medium,13
Marketing Specialist,automotive,sometimes,brands,content,sometimes,no,small,medium,yes,yes,no,low,low,high,13
Event Coordinator,education,no,brands,experience,yes,no,small,low,yes,yes,yes,medium,high,medium,25
Architect,non-profit,sometimes,platform,content,yes,yes,massive,medium,yes,yes,no,high,high,high,21
Journalist,education,yes,organizations,content,yes,yes,massive,low,yes,no,no,medium,high,low,15
Graphic Designer,music,yes,brands,service,no,no,small,medium,yes,no,yes,high,high,high,26
Software Developer,religion,sometimes,brands,digital,no,yes,medium,high,yes,no,yes,high,low,medium,25
Community Manager,entertainment,yes,brands,digital,sometimes,no,medium,high,yes,no,yes,low,medium,high,30
Software Developer,automotive,yes,companies,content,sometimes,no,large,low,yes,no,no,low,low,low,21
Automotive Engineer,marketing,sometimes,individuals,digital,sometimes,yes,large,low,no,no,no,medium,medium,high,23
Automotive Engineer,education,yes,platform,content,sometimes,yes,large,low,yes,yes,no,low,high,low,19
Religious Youth Leader,technology,sometimes,individuals,experience,no,no,small,low,no,no,yes,medium,medium,high,22
Game Designer,social media,no,organizations,digital,sometimes,yes,medium,medium,no,yes,no,high,high,low,16
Social Media Influencer,technology,sometimes,individuals,content,yes,yes,small,low,yes,no,yes,medium,low,medium,28
Civil Engineer,automotive,no,organizations,experience,sometimes,no,massive,low,yes,yes,no,high,medium,high,30
Religious Youth Leader,non-profit,no,organizations,experience,no,yes,small,high,yes,no,yes,medium,high,medium,21
Marketing Specialist,entertainment,no,individuals,physical,no,yes,medium,high,yes,yes,yes,low,high,medium,19
Community Manager,technology,sometimes,individuals,service,sometimes,yes,small,low,no,no,yes,low,medium,low,29
Civil Engineer,design,no,organizations,physical,sometimes,yes,large,medium,yes,no,no,high,high,low,19
Podcast Host,education,no,brands,service,sometimes,no,small,medium,no,yes,yes,low,medium,high,14
Film Editor,non-profit,sometimes,companies,digital,no,no,massive,medium,no,no,yes,high,medium,high,18
Church Choir Member,religion,no,organizations,content,no,no,medium,high,no,no,no,high,low,high,24
Vehicle Armoring Specialist,entertainment,yes,organizations,content,no,yes,large,medium,no,no,no,high,high,high,26
Fashion Model,religion,sometimes,companies,physical,yes,no,massive,medium,no,yes,yes,medium,high,high,30
Teacher,automotive,no,companies,service,yes,yes,small,high,no,no,yes,low,high,high,19
Film Editor,marketing,yes,brands,digital,no,yes,medium,high,yes,no,no,high,low,high,15
Product Manager,technology,yes,companies,physical,yes,yes,massive,low,yes,yes,no,low,medium,high,25
Software Developer,social media,no,brands,digital,yes,yes,large,low,no,no,no,high,medium,high,16
Graphic Designer,technology,no,brands,content,sometimes,yes,large,high,yes,no,yes,high,medium,low,28
Civil Engineer,entertainment,yes,companies,digital,no,yes,large,medium,no,yes,no,low,low,medium,13
Software Developer,technology,yes,brands,digital,no,yes,medium,high,no,yes,no,low,medium,low,23
Religious Youth Leader,automotive,sometimes,individuals,digital,sometimes,yes,large,medium,yes,no,yes,medium,medium,medium,24
Religious Youth Leader,music,yes,companies,physical,sometimes,yes,large,low,yes,no,no,high,medium,high,27
Marketing Specialist,marketing,sometimes,platform,digital,no,no,small,low,yes,no,no,medium,high,high,24
Architect,automotive,sometimes,platform,digital,no,no,large,medium,no,yes,yes,low,medium,low,15
Game Designer,music,sometimes,brands,physical,no,yes,massive,high,no,yes,no,medium,high,high,29
Church Choir Member,education,sometimes,brands,service,yes,no,small,low,no,yes,no,medium,medium,high,13
Software Developer,music,no,organizations,content,sometimes,yes,massive,low,yes,no,no,high,high,medium,22
Video Editor,design,yes,platform,digital,sometimes,yes,large,medium,yes,yes,yes,high,medium,medium,19
Community Manager,music,yes,organizations,digital,yes,no,massive,low,no,no,no,high,high,high,24
Journalist,music,yes,platform,physical,yes,yes,massive,high,yes,no,yes,high,medium,low,28
Mechanical Technician,marketing,yes,platform,digital,yes,yes,small,high,no,no,no,low,high,medium,19
Marketing Specialist,entertainment,yes,brands,physical,sometimes,yes,small,medium,no,no,yes,low,high,low,18
Data Analyst,non-profit,no,individuals,service,no,yes,massive,high,yes,no,no,low,high,high,27
Civil Engineer,social media,sometimes,brands,content,yes,no,medium,medium,no,no,yes,low,high,low,22
Content Creator,music,no,individuals,experience,no,yes,small,high,yes,yes,no,high,medium,high,14
YouTuber,non-profit,no,organizations,service,yes,no,massive,low,yes,no,no,medium,high,high,21
Mechanical Technician,automotive,no,companies,content,no,no,small,low,no,no,yes,low,high,medium,15
Event Coordinator,marketing,sometimes,individuals,digital,sometimes,no,medium,high,no,no,no,low,high,high,21
Photographer,entertainment,no,platform,experience,no,no,medium,low,yes,no,yes,high,low,low,27
Video Editor,design,no,organizations,physical,yes,yes,massive,medium,no,no,yes,high,high,low,14
NGO Worker,entertainment,no,brands,content,yes,no,medium,high,yes,yes,no,high,high,low,24
Journalist,education,yes,organizations,experience,no,yes,massive,high,yes,no,no,high,high,low,19
Marketing Specialist,religion,no,brands,service,no,no,small,low,no,yes,no,medium,low,low,14
Graphic Designer,religion,sometimes,companies,experience,yes,no,medium,low,yes,yes,yes,low,high,medium,20
UX Designer,religion,no,companies,service,no,yes,small,low,no,yes,no,high,high,high,23
Civil Engineer,entertainment,sometimes,organizations,digital,no,yes,large,high,no,no,no,medium,low,high,30
UX Designer,entertainment,yes,individuals,physical,no,no,medium,low,yes,yes,no,medium,high,low,23
Graphic Designer,music,sometimes,platform,content,sometimes,no,large,medium,no,yes,yes,medium,high,low,15
Teacher,automotive,yes,brands,digital,no,no,medium,low,no,yes,no,low,medium,high,22
UX Designer,entertainment,no,platform,experience,no,yes,medium,high,yes,yes,no,high,low,medium,15
Game Designer,non-profit,yes,individuals,experience,yes,yes,massive,high,no,yes,no,medium,high,medium,18
YouTuber,non-profit,no,organizations,digital,sometimes,no,small,low,yes,no,yes,medium,medium,low,22
Content Creator,education,no,organizations,service,yes,yes,small,high,no,no,yes,medium,high,high,25
Video Editor,technology,yes,companies,content,yes,no,small,medium,no,no,no,high,low,high,27
Sound Engineer,technology,sometimes,brands,service,no,no,small,high,no,no,no,medium,high,low,24
Civil Engineer,automotive,yes,individuals,experience,sometimes,no,massive,medium,yes,yes,yes,medium,low,high,20
Marketing Specialist,education,sometimes,individuals,physical,no,no,massive,low,yes,yes,yes,medium,medium,low,24
Data Analyst,non-profit,sometimes,brands,experience,yes,no,small,high,no,no,yes,low,high,high,15
Social Media Influencer,entertainment,sometimes,individuals,digital,yes,yes,medium,high,no,yes,no,medium,high,low,19
Architect,social media,no,platform,experience,sometimes,no,medium,medium,yes,no,yes,low,high,low,28
Data Analyst,education,no,platform,digital,no,no,large,medium,yes,no,no,medium,low,low,25
Video Editor,non-profit,yes,brands,physical,yes,no,massive,low,no,yes,no,low,medium,high,18
Automotive Engineer,religion,sometimes,individuals,content,sometimes,yes,small,high,no,yes,yes,high,medium,low,23
Video Editor,design,sometimes,individuals,digital,sometimes,yes,small,medium,no,no,yes,medium,medium,high,21
Music Producer,non-profit,no,companies,physical,sometimes,yes,massive,high,yes,yes,no,low,medium,high,29
Content Creator,design,no,individuals,content,yes,no,medium,high,no,yes,yes,high,low,high,15
Vehicle Armoring Specialist,design,sometimes,organizations,service,no,no,medium,high,yes,yes,yes,high,medium,medium,18
Civil Engineer,education,sometimes,platform,experience,yes,no,medium,high,no,no,no,low,medium,low,15
Civil Engineer,entertainment,no,organizations,digital,yes,yes,medium,high,no,no,no,medium,medium,high,27
Fashion Model,design,no,brands,experience,sometimes,yes,massive,medium,yes,no,no,high,medium,high,24
Journalist,music,sometimes,brands,experience,no,yes,large,low,yes,no,no,low,high,low,27
Podcast Host,automotive,sometimes,companies,digital,no,no,large,low,no,yes,no,medium,medium,medium,22
Social Media Influencer,religion,no,individuals,experience,no,yes,small,medium,yes,yes,no,high,low,high,29
Data Analyst,design,no,platform,experience,sometimes,yes,massive,high,no,yes,yes,medium,low,high,16
Church Choir Member,religion,no,companies,experience,sometimes,yes,small,high,no,no,no,low,medium,low,16
NGO Worker,automotive,yes,individuals,experience,no,no,large,high,yes,yes,no,low,high,low,29
Mechanical Technician,automotive,sometimes,organizations,digital,sometimes,no,massive,medium,yes,yes,yes,high,low,high,30
Fashion Model,non-profit,yes,organizations,service,sometimes,yes,large,low,no,yes,no,medium,low,high,25
Graphic Designer,non-profit,sometimes,platform,digital,yes,no,small,high,yes,yes,yes,high,high,medium,20
Podcast Host,automotive,sometimes,companies,physical,no,yes,large,medium,no,no,no,medium,medium,low,27
Game Designer,religion,no,brands,physical,yes,yes,small,medium,yes,no,yes,low,medium,low,16
Civil Engineer,entertainment,sometimes,brands,physical,sometimes,yes,large,high,yes,yes,yes,medium,low,high,13
Journalist,social media,sometimes,platform,service,no,no,massive,low,yes,no,no,high,low,low,28
Interior Designer,education,yes,organizations,service,yes,no,large,high,no,no,yes,low,high,low,19
Teacher,music,yes,organizations,content,no,no,large,medium,yes,yes,yes,high,low,high,14
Social Media Influencer,design,yes,platform,experience,sometimes,yes,massive,high,yes,no,yes,low,medium,high,30
Church Choir Member,music,sometimes,platform,physical,sometimes,no,medium,high,no,no,no,medium,low,high,19
Sound Engineer,religion,no,companies,service,yes,yes,small,low,yes,no,yes,medium,high,high,24
Interior Designer,automotive,sometimes,individuals,physical,no,no,medium,medium,yes,yes,no,medium,low,high,29
Journalist,technology,yes,individuals,digital,sometimes,yes,small,low,no,yes,yes,low,medium,low,17
Mechanical Technician,marketing,yes,platform,service,sometimes,no,medium,medium,no,yes,no,high,medium,high,28
Journalist,religion,sometimes,individuals,experience,no,yes,large,low,yes,no,yes,medium,low,high,24
Photographer,education,no,individuals,digital,no,no,large,high,no,yes,yes,low,high,medium,24
Music Producer,entertainment,no,brands,digital,sometimes,yes,small,low,no,no,no,low,medium,low,18
Graphic Designer,marketing,yes,platform,content,yes,yes,large,low,yes,no,no,low,high,low,25
Product Manager,marketing,no,companies,experience,no,no,massive,medium,yes,yes,yes,medium,low,medium,29
Mechanical Technician,marketing,sometimes,individuals,experience,sometimes,yes,massive,low,no,no,no,medium,medium,high,15
Photographer,automotive,yes,brands,content,no,no,large,high,no,no,yes,low,medium,high,16
Video Editor,design,no,brands,service,sometimes,yes,small,medium,no,no,no,low,medium,high,26
Graphic Designer,social media,yes,individuals,service,sometimes,no,medium,low,yes,yes,yes,medium,high,high,27
Fashion Model,social media,no,brands,physical,no,yes,large,medium,no,yes,yes,low,medium,low,19
Data Analyst,music,sometimes,organizations,content,yes,yes,medium,high,no,no,yes,high,medium,low,22
Journalist,non-profit,yes,individuals,experience,sometimes,no,large,medium,no,yes,yes,medium,high,high,16
Graphic Designer,technology,yes,organizations,physical,sometimes,no,large,high,yes,yes,yes,medium,high,low,16
Mechanical Technician,entertainment,sometimes,platform,digital,no,no,large,medium,yes,yes,yes,high,high,high,23
Journalist,technology,no,individuals,digital,yes,yes,large,medium,no,no,yes,high,medium,low,15
Podcast Host,education,no,companies,content,no,yes,large,low,yes,no,yes,medium,low,low,27
Game Designer,technology,sometimes,organizations,digital,yes,no,medium,medium,yes,no,yes,high,low,medium,20
Marketing Specialist,design,yes,brands,content,sometimes,yes,large,medium,no,yes,no,medium,high,low,16
Event Coordinator,technology,no,companies,content,no,no,medium,medium,no,yes,yes,low,low,low,22
Interior Designer,non-profit,yes,organizations,digital,sometimes,no,large,medium,yes,no,yes,low,low,high,26
Church Choir Member,design,sometimes,brands,service,yes,no,massive,low,no,no,yes,medium,low,high,29
Mechanical Technician,marketing,yes,platform,experience,sometimes,yes,large,low,no,yes,yes,high,medium,low,30
Sound Engineer,music,sometimes,companies,content,yes,yes,large,low,yes,no,yes,medium,high,high,17
Interior Designer,automotive,yes,companies,content,sometimes,yes,large,low,no,yes,no,low,medium,medium,16
Graphic Designer,music,yes,individuals,content,yes,yes,small,medium,no,yes,yes,low,medium,low,25
Journalist,education,yes,platform,physical,no,yes,massive,high,no,yes,yes,medium,high,high,23
NGO Worker,music,no,platform,experience,yes,yes,large,low,no,yes,yes,high,medium,low,14
Social Media Influencer,music,yes,platform,experience,yes,no,small,medium,yes,no,no,medium,low,high,25
Journalist,non-profit,yes,brands,service,yes,yes,small,high,no,yes,no,low,low,high,15
Civil Engineer,religion,sometimes,brands,digital,yes,yes,medium,medium,yes,yes,no,medium,medium,medium,23
Sound Engineer,marketing,sometimes,brands,physical,yes,yes,massive,medium,no,no,no,low,low,high,16
Content Creator,entertainment,yes,organizations,experience,sometimes,yes,large,medium,yes,no,yes,low,low,medium,18
Software Developer,marketing,no,companies,physical,no,yes,large,medium,no,no,yes,medium,medium,high,14
UX Designer,entertainment,yes,individuals,experience,yes,yes,large,high,no,no,yes,low,medium,medium,22
Marketing Specialist,design,no,companies,experience,sometimes,no,medium,high,no,yes,yes,high,high,medium,27
Data Analyst,entertainment,yes,individuals,service,sometimes,yes,small,low,yes,yes,yes,low,medium,low,19
Teacher,automotive,sometimes,platform,content,yes,no,small,high,no,yes,no,low,medium,high,28
Marketing Specialist,entertainment,sometimes,companies,digital,no,yes,small,medium,no,no,yes,low,high,low,27
Video Editor,design,yes,companies,physical,yes,yes,large,low,no,no,yes,medium,high,low,23
Mechanical Technician,automotive,yes,platform,digital,no,yes,massive,low,yes,yes,no,high,medium,medium,24
Video Editor,entertainment,no,companies,experience,sometimes,yes,large,high,yes,no,yes,high,high,medium,30
Video Editor,non-profit,sometimes,brands,experience,no,yes,small,medium,yes,yes,yes,high,low,low,20
Music Producer,non-profit,no,organizations,service,no,no,small,low,yes,no,yes,medium,low,low,28
Community Manager,religion,no,organizations,experience,no,yes,small,medium,yes,no,yes,high,high,medium,16
Church Choir Member,music,sometimes,platform,service,no,yes,small,medium,yes,no,no,high,high,high,22
Event Coordinator,entertainment,sometimes,brands,content,no,yes,medium,low,yes,no,no,high,low,medium,16
YouTuber,social media,yes,companies,experience,no,yes,massive,high,yes,no,yes,high,low,medium,27
Interior Designer,automotive,no,platform,physical,yes,no,large,medium,yes,no,yes,high,low,low,23
Sound Engineer,entertainment,no,individuals,physical,yes,no,large,high,no,yes,yes,medium,high,medium,23
Film Editor,marketing,sometimes,individuals,physical,yes,yes,medium,medium,no,yes,no,low,medium,low,18
Religious Youth Leader,music,no,brands,digital,yes,no,medium,low,no,yes,no,high,low,medium,22
Photographer,social media,sometimes,companies,physical,yes,no,small,medium,no,yes,no,high,medium,low,21
Product Manager,technology,yes,platform,digital,yes,yes,small,medium,yes,yes,yes,medium,medium,low,25
Photographer,non-profit,sometimes,brands,experience,yes,yes,massive,low,no,yes,no,medium,low,low,23
Journalist,technology,no,individuals,physical,yes,yes,large,medium,yes,no,no,high,medium,low,30
Photographer,social media,yes,individuals,experience,yes,no,medium,high,no,no,no,medium,medium,high,21
NGO Worker,education,yes,organizations,service,no,no,massive,low,yes,no,yes,high,low,medium,16
Interior Designer,social media,yes,platform,service,yes,no,small,medium,yes,yes,no,medium,medium,low,23
Video Editor,design,sometimes,organizations,service,no,yes,small,medium,yes,no,yes,medium,high,low,16
Product Manager,automotive,yes,companies,experience,sometimes,yes,large,high,no,no,yes,high,medium,high,24
Civil Engineer,design,sometimes,organizations,service,yes,no,medium,high,yes,yes,no,low,high,high,22
Interior Designer,marketing,sometimes,platform,service,sometimes,yes,massive,medium,yes,no,yes,medium,high,low,18
Event Coordinator,design,no,individuals,digital,yes,no,massive,medium,no,yes,no,medium,low,medium,18
Music Producer,non-profit,no,organizations,physical,sometimes,yes,small,medium,yes,yes,no,high,medium,medium,16
UX Designer,marketing,sometimes,organizations,physical,yes,yes,large,low,no,yes,yes,medium,high,low,30
Event Coordinator,social media,yes,brands,service,yes,yes,large,high,no,no,no,medium,medium,low,28
Content Creator,religion,yes,brands,service,sometimes,no,large,low,no,yes,no,medium,low,low,17
Software Developer,design,no,organizations,physical,yes,no,large,high,yes,yes,no,high,low,high,13
Fashion Model,automotive,no,individuals,digital,no,no,small,low,yes,no,yes,low,high,medium,23
YouTuber,design,yes,companies,experience,sometimes,yes,large,medium,no,no,yes,medium,medium,low,30
Podcast Host,music,yes,brands,experience,yes,yes,medium,high,yes,no,yes,high,high,high,26
Software Developer,marketing,sometimes,individuals,digital,sometimes,no,massive,high,no,yes,no,low,medium,low,21
Social Media Influencer,marketing,no,platform,content,yes,no,large,medium,yes,yes,no,high,low,medium,19
Content Creator,entertainment,sometimes,platform,physical,sometimes,no,large,high,yes,no,yes,high,high,high,24
Journalist,education,yes,companies,content,no,yes,massive,low,yes,no,yes,low,high,high,14
Social Media Influencer,non-profit,no,organizations,experience,no,yes,massive,high,yes,yes,no,low,low,medium,13
Teacher,music,yes,brands,physical,sometimes,no,small,low,yes,no,no,high,medium,low,26
Data Analyst,marketing,sometimes,companies,digital,yes,yes,medium,low,no,no,yes,medium,low,high,20
Content Creator,non-profit,yes,companies,content,no,yes,massive,high,yes,yes,no,low,medium,low,29
Content Creator,technology,yes,brands,digital,yes,no,massive,low,no,yes,no,low,high,low,16
Religious Youth Leader,music,sometimes,companies,service,yes,yes,massive,medium,no,no,no,low,medium,medium,25
Video Editor,non-profit,yes,companies,experience,yes,yes,massive,medium,yes,no,no,low,high,high,19
Church Choir Member,non-profit,yes,companies,physical,no,yes,massive,high,yes,no,no,medium,medium,low,20
Fashion Model,music,yes,individuals,experience,yes,yes,medium,low,yes,no,no,high,high,medium,23
Film Editor,religion,no,companies,digital,no,yes,medium,low,no,yes,yes,low,high,medium,15
Architect,music,sometimes,companies,digital,yes,yes,massive,medium,no,yes,yes,low,high,medium,13
Vehicle Armoring Specialist,entertainment,no,brands,physical,sometimes,no,medium,medium,yes,yes,yes,high,high,medium,30
Civil Engineer,religion,yes,platform,physical,sometimes,no,medium,medium,no,no,no,low,low,high,19
YouTuber,non-profit,yes,platform,service,no,yes,massive,medium,yes,no,no,high,high,high,24
UX Designer,technology,sometimes,companies,experience,yes,no,massive,medium,no,no,no,low,low,high,20
Product Manager,technology,sometimes,platform,content,sometimes,no,large,low,yes,yes,no,low,low,medium,24
Fashion Model,technology,no,organizations,experience,yes,no,small,low,yes,yes,yes,low,high,medium,27
Game Designer,technology,no,companies,physical,sometimes,yes,medium,medium,no,no,yes,medium,medium,high,26
Interior Designer,religion,no,platform,experience,yes,yes,large,low,no,yes,yes,low,high,medium,25
Music Producer,technology,no,brands,service,yes,no,massive,medium,yes,no,no,low,low,high,22
Teacher,design,no,brands,service,no,yes,large,high,yes,yes,yes,low,low,low,18
Film Editor,marketing,yes,organizations,experience,sometimes,yes,large,medium,no,yes,no,medium,medium,low,27
Community Manager,marketing,yes,individuals,digital,sometimes,no,massive,medium,no,no,yes,low,medium,low,29
Data Analyst,social media,yes,organizations,digital,sometimes,yes,medium,low,no,yes,no,medium,high,high,15
Vehicle Armoring Specialist,religion,no,brands,content,sometimes,yes,medium,high,yes,no,no,low,high,medium,18
Podcast Host,non-profit,yes,organizations,physical,no,yes,massive,medium,no,no,no,low,low,high,16
Vehicle Armoring Specialist,religion,no,individuals,experience,sometimes,no,large,low,no,yes,no,medium,high,high,19
Software Developer,marketing,yes,organizations,physical,yes,yes,medium,medium,no,yes,yes,low,medium,low,27
Graphic Designer,non-profit,yes,companies,experience,no,no,small,medium,no,no,yes,low,medium,high,13
Teacher,education,yes,individuals,physical,no,yes,large,medium,yes,yes,no,high,medium,low,17
Community Manager,entertainment,sometimes,brands,experience,no,no,massive,low,no,yes,yes,high,medium,high,30
Music Producer,entertainment,yes,platform,digital,sometimes,no,medium,medium,yes,no,yes,medium,high,high,18
Film Editor,education,yes,organizations,experience,no,yes,massive,high,yes,yes,no,medium,medium,low,13
Fashion Model,entertainment,yes,brands,physical,yes,yes,large,medium,yes,yes,yes,low,low,medium,30
Software Developer,music,no,individuals,service,yes,yes,medium,low,no,no,no,low,medium,low,20
Automotive Engineer,social media,sometimes,organizations,service,yes,yes,medium,medium,no,yes,yes,high,high,low,14
YouTuber,religion,no,brands,physical,no,no,medium,low,yes,no,no,medium,medium,high,27
Interior Designer,non-profit,yes,individuals,physical,yes,no,medium,low,no,yes,yes,high,low,low,23
Software Developer,non-profit,no,companies,digital,no,no,large,low,yes,no,yes,medium,low,low,14
